Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome fragment,Order within fragment,Accessory Fragment,Accessory Order with fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,genome_001,genome_002,genome_003,genome_004,genome_005,genome_006,genome_007,genome_008,genome_009,genome_010,genome_011,genome_012,genome_013,genome_014,genome_015,genome_016,genome_017,genome_018,genome_019,genome_020,genome_021,genome_022,genome_023,genome_024,genome_025,genome_026,genome_027,genome_028,genome_029,genome_030
group_0095,group_0095,beta-lactamase,,,,,,,,,,,,group_0095_genome_001_0,,group_0095_genome_003_0,,group_0095_genome_005_0,group_0095_genome_006_0,,group_0095_genome_008_0,group_0095_genome_009_0,group_0095_genome_010_0,group_0095_genome_011_0,group_0095_genome_012_0,group_0095_genome_013_0,group_0095_genome_014_0,,,group_0095_genome_017_0,,,group_0095_genome_020_0,,group_0095_genome_022_0,,,,group_0095_genome_026_0,group_0095_genome_027_0,group_0095_genome_028_0,group_0095_genome_029_0,group_0095_genome_030_0
group_0096,group_0096,efflux pump,,,,,,,,,,,,group_0096_genome_001_0,,group_0096_genome_003_0,group_0096_genome_004_0,,group_0096_genome_006_0,group_0096_genome_007_0,group_0096_genome_008_0,group_0096_genome_009_0,group_0096_genome_010_0,group_0096_genome_011_0;group_0096_genome_011_1,group_0096_genome_012_0,group_0096_genome_013_0,,group_0096_genome_015_0,group_0096_genome_016_0,group_0096_genome_017_0,group_0096_genome_018_0,group_0096_genome_019_0,group_0096_genome_020_0;group_0096_genome_020_1,group_0096_genome_021_0,group_0096_genome_022_0,group_0096_genome_023_0,group_0096_genome_024_0,group_0096_genome_025_0,group_0096_genome_026_0,group_0096_genome_027_0,group_0096_genome_028_0,group_0096_genome_029_0,group_0096_genome_030_0
group_0097,group_0097,DNA polymerase,,,,,,,,,,,,,group_0097_genome_002_0;group_0097_genome_002_1,group_0097_genome_003_0,,,group_0097_genome_006_0,,group_0097_genome_008_0,group_0097_genome_009_0,,group_0097_genome_011_0,,group_0097_genome_013_0,,group_0097_genome_015_0,,group_0097_genome_017_0,group_0097_genome_018_0,group_0097_genome_019_0,group_0097_genome_020_0,group_0097_genome_021_0,,,group_0097_genome_024_0,group_0097_genome_025_0,group_0097_genome_026_0,,group_0097_genome_028_0,group_0097_genome_029_0,group_0097_genome_030_0
group_0098,group_0098,virulence factor,,,,,,,,,,,,group_0098_genome_001_0;group_0098_genome_001_1,,,group_0098_genome_004_0,group_0098_genome_005_0,group_0098_genome_006_0,group_0098_genome_007_0,group_0098_genome_008_0,group_0098_genome_009_0,group_0098_genome_010_0,group_0098_genome_011_0,group_0098_genome_012_0,group_0098_genome_013_0,group_0098_genome_014_0,group_0098_genome_015_0,group_0098_genome_016_0,group_0098_genome_017_0,group_0098_genome_018_0,group_0098_genome_019_0,group_0098_genome_020_0,,group_0098_genome_022_0,group_0098_genome_023_0,group_0098_genome_024_0,,,,group_0098_genome_028_0,,
group_0099,group_0099,efflux pump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_0099_genome_022_0,,,,,,,,
group_0100,group_0100,efflux pump,,,,,,,,,,,,group_0100_genome_001_0,group_0100_genome_002_0,group_0100_genome_003_0,group_0100_genome_004_0,group_0100_genome_005_0,group_0100_genome_006_0,group_0100_genome_007_0,group_0100_genome_008_0,group_0100_genome_009_0,group_0100_genome_010_0,group_0100_genome_011_0,group_0100_genome_012_0,group_0100_genome_013_0,group_0100_genome_014_0,group_0100_genome_015_0,group_0100_genome_016_0,group_0100_genome_017_0,group_0100_genome_018_0,group_0100_genome_019_0,group_0100_genome_020_0,group_0100_genome_021_0,group_0100_genome_022_0,group_0100_genome_023_0,group_0100_genome_024_0,group_0100_genome_025_0,group_0100_genome_026_0,group_0100_genome_027_0,,group_0100_genome_029_0,group_0100_genome_030_0
group_0101,group_0101,virulence factor,,,,,,,,,,,,,group_0101_genome_002_0,,group_0101_genome_004_0,,,,group_0101_genome_008_0,,,,,,,,,,,,,,,,group_0101_genome_024_0,,,,,,
group_0102,group_0102,virulence factor,,,,,,,,,,,,,,,,,,,,,,group_0102_genome_011_0,,,,,,group_0102_genome_017_0,,,,,,,,,,,,,
group_0103,group_0103,flagellar protein,,,,,,,,,,,,group_0103_genome_001_0,group_0103_genome_002_0,group_0103_genome_003_0,group_0103_genome_004_0,group_0103_genome_005_0,group_0103_genome_006_0,group_0103_genome_007_0,group_0103_genome_008_0,group_0103_genome_009_0,group_0103_genome_010_0,group_0103_genome_011_0,group_0103_genome_012_0,group_0103_genome_013_0,,group_0103_genome_015_0,group_0103_genome_016_0,group_0103_genome_017_0,group_0103_genome_018_0,group_0103_genome_019_0,group_0103_genome_020_0,group_0103_genome_021_0,group_0103_genome_022_0,group_0103_genome_023_0,group_0103_genome_024_0,group_0103_genome_025_0,group_0103_genome_026_0,group_0103_genome_027_0,group_0103_genome_028_0,,group_0103_genome_030_0
group_0104,group_0104,,,,,,,,,,,,,group_0104_genome_001_0,,group_0104_genome_003_0,,group_0104_genome_005_0,group_0104_genome_006_0,,,group_0104_genome_009_0,group_0104_genome_010_0,group_0104_genome_011_0,group_0104_genome_012_0,group_0104_genome_013_0,group_0104_genome_014_0,group_0104_genome_015_0,group_0104_genome_016_0,,,group_0104_genome_019_0,,group_0104_genome_021_0,group_0104_genome_022_0,group_0104_genome_023_0,,group_0104_genome_025_0,,group_0104_genome_027_0;group_0104_genome_027_1,group_0104_genome_028_0,group_0104_genome_029_0,
group_0105,group_0105,membrane transporter,,,,,,,,,,,,group_0105_genome_001_0,group_0105_genome_002_0,group_0105_genome_003_0,group_0105_genome_004_0,group_0105_genome_005_0,group_0105_genome_006_0,group_0105_genome_007_0,group_0105_genome_008_0,group_0105_genome_009_0,group_0105_genome_010_0,group_0105_genome_011_0,group_0105_genome_012_0,group_0105_genome_013_0,group_0105_genome_014_0,group_0105_genome_015_0,group_0105_genome_016_0,group_0105_genome_017_0,group_0105_genome_018_0,group_0105_genome_019_0,group_0105_genome_020_0,group_0105_genome_021_0,group_0105_genome_022_0,group_0105_genome_023_0,group_0105_genome_024_0,group_0105_genome_025_0,group_0105_genome_026_0,group_0105_genome_027_0,group_0105_genome_028_0,group_0105_genome_029_0,group_0105_genome_030_0
group_0106,group_0106,membrane transporter,,,,,,,,,,,,,,,,,,,,,group_0106_genome_010_0,,,,,,,,,,,,,,,,,,group_0106_genome_028_0,,
group_0107,group_0107,efflux pump,,,,,,,,,,,,group_0107_genome_001_0,,,group_0107_genome_004_0,,group_0107_genome_006_0,group_0107_genome_007_0,group_0107_genome_008_0,,group_0107_genome_010_0,group_0107_genome_011_0,,group_0107_genome_013_0,,,group_0107_genome_016_0,,group_0107_genome_018_0,,group_0107_genome_020_0,,group_0107_genome_022_0,group_0107_genome_023_0,group_0107_genome_024_0,group_0107_genome_025_0,,group_0107_genome_027_0,group_0107_genome_028_0,group_0107_genome_029_0,
group_0108,group_0108,flagellar protein,,,,,,,,,,,,group_0108_genome_001_0,group_0108_genome_002_0,group_0108_genome_003_0,group_0108_genome_004_0,group_0108_genome_005_0,group_0108_genome_006_0,group_0108_genome_007_0,group_0108_genome_008_0,group_0108_genome_009_0,group_0108_genome_010_0,group_0108_genome_011_0,group_0108_genome_012_0,group_0108_genome_013_0,group_0108_genome_014_0,group_0108_genome_015_0,group_0108_genome_016_0,group_0108_genome_017_0,group_0108_genome_018_0,group_0108_genome_019_0,group_0108_genome_020_0,group_0108_genome_021_0,group_0108_genome_022_0,group_0108_genome_023_0,group_0108_genome_024_0,group_0108_genome_025_0,group_0108_genome_026_0,,,group_0108_genome_029_0,
group_0109,group_0109,flagellar protein,,,,,,,,,,,,group_0109_genome_001_0,group_0109_genome_002_0,group_0109_genome_003_0,group_0109_genome_004_0,group_0109_genome_005_0,group_0109_genome_006_0,group_0109_genome_007_0,group_0109_genome_008_0,group_0109_genome_009_0,group_0109_genome_010_0,group_0109_genome_011_0;group_0109_genome_011_1,group_0109_genome_012_0,group_0109_genome_013_0,group_0109_genome_014_0,group_0109_genome_015_0,group_0109_genome_016_0,group_0109_genome_017_0,group_0109_genome_018_0,group_0109_genome_019_0,group_0109_genome_020_0,group_0109_genome_021_0,group_0109_genome_022_0,group_0109_genome_023_0,group_0109_genome_024_0,group_0109_genome_025_0,group_0109_genome_026_0,group_0109_genome_027_0,group_0109_genome_028_0,group_0109_genome_029_0,group_0109_genome_030_0
group_0110,group_0110,hypothetical protein,,,,,,,,,,,,group_0110_genome_001_0,group_0110_genome_002_0,,group_0110_genome_004_0,group_0110_genome_005_0;group_0110_genome_005_1,group_0110_genome_006_0,group_0110_genome_007_0,group_0110_genome_008_0,,,,group_0110_genome_012_0,,,group_0110_genome_015_0,group_0110_genome_016_0,,group_0110_genome_018_0,group_0110_genome_019_0,,group_0110_genome_021_0,group_0110_genome_022_0,,group_0110_genome_024_0,group_0110_genome_025_0,group_0110_genome_026_0,,group_0110_genome_028_0,,group_0110_genome_030_0
group_0111,group_0111,,,,,,,,,,,,,group_0111_genome_001_0,group_0111_genome_002_0,group_0111_genome_003_0,,,,group_0111_genome_007_0,,,group_0111_genome_010_0,group_0111_genome_011_0,group_0111_genome_012_0,group_0111_genome_013_0,group_0111_genome_014_0,,,group_0111_genome_017_0,group_0111_genome_018_0,group_0111_genome_019_0,,,,,,,group_0111_genome_026_0,group_0111_genome_027_0,group_0111_genome_028_0,group_0111_genome_029_0,
group_0112,group_0112,,,,,,,,,,,,,,group_0112_genome_002_0,,,,,,group_0112_genome_008_0,group_0112_genome_009_0,,group_0112_genome_011_0,group_0112_genome_012_0,,group_0112_genome_014_0,group_0112_genome_015_0,group_0112_genome_016_0,group_0112_genome_017_0,group_0112_genome_018_0,,group_0112_genome_020_0,,group_0112_genome_022_0,,group_0112_genome_024_0,,group_0112_genome_026_0,,,group_0112_genome_029_0,group_0112_genome_030_0
group_0113,group_0113,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_0114,group_0114,beta-lactamase,,,,,,,,,,,,group_0114_genome_001_0,group_0114_genome_002_0,group_0114_genome_003_0,,group_0114_genome_005_0,group_0114_genome_006_0,group_0114_genome_007_0,group_0114_genome_008_0,group_0114_genome_009_0,group_0114_genome_010_0,group_0114_genome_011_0,group_0114_genome_012_0,group_0114_genome_013_0,group_0114_genome_014_0,group_0114_genome_015_0,group_0114_genome_016_0,group_0114_genome_017_0,group_0114_genome_018_0;group_0114_genome_018_1,group_0114_genome_019_0,group_0114_genome_020_0,group_0114_genome_021_0,group_0114_genome_022_0,group_0114_genome_023_0,group_0114_genome_024_0,group_0114_genome_025_0,group_0114_genome_026_0,group_0114_genome_027_0,group_0114_genome_028_0,group_0114_genome_029_0,
group_0115,group_0115,,,,,,,,,,,,,group_0115_genome_001_0,group_0115_genome_002_0,group_0115_genome_003_0,group_0115_genome_004_0,group_0115_genome_005_0,,group_0115_genome_007_0,group_0115_genome_008_0,group_0115_genome_009_0,group_0115_genome_010_0,group_0115_genome_011_0,group_0115_genome_012_0,group_0115_genome_013_0,group_0115_genome_014_0,group_0115_genome_015_0,group_0115_genome_016_0,group_0115_genome_017_0;group_0115_genome_017_1,group_0115_genome_018_0,group_0115_genome_019_0,group_0115_genome_020_0,group_0115_genome_021_0,group_0115_genome_022_0,group_0115_genome_023_0,,group_0115_genome_025_0,group_0115_genome_026_0,group_0115_genome_027_0,group_0115_genome_028_0,group_0115_genome_029_0,group_0115_genome_030_0
group_0116,group_0116,hypothetical protein,,,,,,,,,,,,group_0116_genome_001_0,,group_0116_genome_003_0,group_0116_genome_004_0,,group_0116_genome_006_0,,group_0116_genome_008_0,,,group_0116_genome_011_0,group_0116_genome_012_0,,,group_0116_genome_015_0,group_0116_genome_016_0,group_0116_genome_017_0,group_0116_genome_018_0,,group_0116_genome_020_0,group_0116_genome_021_0,group_0116_genome_022_0,,group_0116_genome_024_0,,,,,,group_0116_genome_030_0
group_0117,group_0117,efflux pump,,,,,,,,,,,,,,,,,,,,,,group_0117_genome_011_0,,,,,,,group_0117_genome_018_0,,group_0117_genome_020_0,,group_0117_genome_022_0,,,group_0117_genome_025_0,,group_0117_genome_027_0,,,
group_0118,group_0118,flagellar protein,,,,,,,,,,,,group_0118_genome_001_0,group_0118_genome_002_0,,group_0118_genome_004_0,group_0118_genome_005_0,,,group_0118_genome_008_0,,,group_0118_genome_011_0,,group_0118_genome_013_0,group_0118_genome_014_0,,,,group_0118_genome_018_0,group_0118_genome_019_0,group_0118_genome_020_0,,group_0118_genome_022_0,group_0118_genome_023_0,group_0118_genome_024_0,group_0118_genome_025_0,group_0118_genome_026_0,,group_0118_genome_028_0,group_0118_genome_029_0,
group_0119,group_0119,,,,,,,,,,,,,group_0119_genome_001_0,group_0119_genome_002_0,group_0119_genome_003_0,group_0119_genome_004_0,group_0119_genome_005_0,group_0119_genome_006_0,group_0119_genome_007_0,group_0119_genome_008_0,group_0119_genome_009_0,group_0119_genome_010_0,group_0119_genome_011_0,group_0119_genome_012_0,group_0119_genome_013_0,group_0119_genome_014_0,group_0119_genome_015_0,group_0119_genome_016_0,group_0119_genome_017_0,group_0119_genome_018_0,group_0119_genome_019_0,,group_0119_genome_021_0,group_0119_genome_022_0,group_0119_genome_023_0,group_0119_genome_024_0;group_0119_genome_024_1,group_0119_genome_025_0,group_0119_genome_026_0;group_0119_genome_026_1,group_0119_genome_027_0,group_0119_genome_028_0,group_0119_genome_029_0,group_0119_genome_030_0
group_0120,group_0120,,,,,,,,,,,,,,,,,,,,,group_0120_genome_009_0,,,,,,group_0120_genome_015_0,,,,,,,,,,,,,,,
group_0121,group_0121,virulence factor,,,,,,,,,,,,group_0121_genome_001_0,group_0121_genome_002_0,group_0121_genome_003_0,group_0121_genome_004_0,group_0121_genome_005_0,group_0121_genome_006_0,group_0121_genome_007_0,group_0121_genome_008_0,group_0121_genome_009_0,group_0121_genome_010_0,group_0121_genome_011_0,group_0121_genome_012_0,group_0121_genome_013_0,group_0121_genome_014_0,group_0121_genome_015_0,group_0121_genome_016_0,group_0121_genome_017_0,group_0121_genome_018_0,group_0121_genome_019_0,group_0121_genome_020_0,group_0121_genome_021_0,group_0121_genome_022_0,group_0121_genome_023_0,group_0121_genome_024_0,group_0121_genome_025_0,,group_0121_genome_027_0,group_0121_genome_028_0,group_0121_genome_029_0,group_0121_genome_030_0
group_0122,group_0122,efflux pump,,,,,,,,,,,,group_0122_genome_001_0,group_0122_genome_002_0,group_0122_genome_003_0,group_0122_genome_004_0,,group_0122_genome_006_0,,group_0122_genome_008_0,group_0122_genome_009_0,,group_0122_genome_011_0,,group_0122_genome_013_0,group_0122_genome_014_0,,,group_0122_genome_017_0,,,,,,group_0122_genome_023_0,group_0122_genome_024_0,,,,group_0122_genome_028_0,,
group_0123,group_0123,virulence factor,,,,,,,,,,,,group_0123_genome_001_0,group_0123_genome_002_0,group_0123_genome_003_0,group_0123_genome_004_0,group_0123_genome_005_0,,group_0123_genome_007_0,group_0123_genome_008_0,group_0123_genome_009_0,group_0123_genome_010_0,group_0123_genome_011_0,group_0123_genome_012_0,group_0123_genome_013_0,group_0123_genome_014_0,group_0123_genome_015_0,group_0123_genome_016_0,group_0123_genome_017_0,group_0123_genome_018_0,group_0123_genome_019_0,group_0123_genome_020_0,group_0123_genome_021_0,group_0123_genome_022_0,group_0123_genome_023_0,group_0123_genome_024_0,group_0123_genome_025_0,group_0123_genome_026_0,group_0123_genome_027_0,group_0123_genome_028_0,group_0123_genome_029_0,group_0123_genome_030_0
group_0124,group_0124,beta-lactamase,,,,,,,,,,,,group_0124_genome_001_0,group_0124_genome_002_0,group_0124_genome_003_0,group_0124_genome_004_0,group_0124_genome_005_0,group_0124_genome_006_0;group_0124_genome_006_1,group_0124_genome_007_0,group_0124_genome_008_0,group_0124_genome_009_0,group_0124_genome_010_0,group_0124_genome_011_0,group_0124_genome_012_0,group_0124_genome_013_0,group_0124_genome_014_0,group_0124_genome_015_0,group_0124_genome_016_0,group_0124_genome_017_0,group_0124_genome_018_0,group_0124_genome_019_0,group_0124_genome_020_0,group_0124_genome_021_0,group_0124_genome_022_0,group_0124_genome_023_0,group_0124_genome_024_0,group_0124_genome_025_0,group_0124_genome_026_0,group_0124_genome_027_0,group_0124_genome_028_0,group_0124_genome_029_0,group_0124_genome_030_0
group_0125,group_0125,,,,,,,,,,,,,,,group_0125_genome_003_0,,group_0125_genome_005_0,group_0125_genome_006_0,group_0125_genome_007_0,,,,group_0125_genome_011_0,group_0125_genome_012_0,group_0125_genome_013_0,group_0125_genome_014_0,group_0125_genome_015_0,group_0125_genome_016_0,group_0125_genome_017_0,group_0125_genome_018_0,group_0125_genome_019_0;group_0125_genome_019_1,group_0125_genome_020_0,,group_0125_genome_022_0,group_0125_genome_023_0,,group_0125_genome_025_0,,group_0125_genome_027_0,group_0125_genome_028_0,group_0125_genome_029_0,
group_0126,group_0126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_0126_genome_017_0,,,,,,,,,,,,,
group_0127,group_0127,DNA polymerase,,,,,,,,,,,,group_0127_genome_001_0,group_0127_genome_002_0,group_0127_genome_003_0,group_0127_genome_004_0,group_0127_genome_005_0,group_0127_genome_006_0,group_0127_genome_007_0,group_0127_genome_008_0,group_0127_genome_009_0,group_0127_genome_010_0,group_0127_genome_011_0,group_0127_genome_012_0,group_0127_genome_013_0,group_0127_genome_014_0,,group_0127_genome_016_0,group_0127_genome_017_0,group_0127_genome_018_0,group_0127_genome_019_0,group_0127_genome_020_0,group_0127_genome_021_0,group_0127_genome_022_0,group_0127_genome_023_0,group_0127_genome_024_0,group_0127_genome_025_0,group_0127_genome_026_0,group_0127_genome_027_0,group_0127_genome_028_0,group_0127_genome_029_0,group_0127_genome_030_0
group_0128,group_0128,,,,,,,,,,,,,group_0128_genome_001_0,group_0128_genome_002_0,group_0128_genome_003_0,group_0128_genome_004_0,group_0128_genome_005_0,group_0128_genome_006_0,,group_0128_genome_008_0,group_0128_genome_009_0,group_0128_genome_010_0,group_0128_genome_011_0,group_0128_genome_012_0,group_0128_genome_013_0,group_0128_genome_014_0,group_0128_genome_015_0;group_0128_genome_015_1,group_0128_genome_016_0,group_0128_genome_017_0,group_0128_genome_018_0,group_0128_genome_019_0,group_0128_genome_020_0,group_0128_genome_021_0,group_0128_genome_022_0,group_0128_genome_023_0,group_0128_genome_024_0,group_0128_genome_025_0,group_0128_genome_026_0,group_0128_genome_027_0,group_0128_genome_028_0,group_0128_genome_029_0;group_0128_genome_029_1,group_0128_genome_030_0
group_0129,group_0129,virulence factor,,,,,,,,,,,,group_0129_genome_001_0,group_0129_genome_002_0,group_0129_genome_003_0,group_0129_genome_004_0,group_0129_genome_005_0,group_0129_genome_006_0,group_0129_genome_007_0,group_0129_genome_008_0,group_0129_genome_009_0,group_0129_genome_010_0,group_0129_genome_011_0,group_0129_genome_012_0,group_0129_genome_013_0,group_0129_genome_014_0,group_0129_genome_015_0,group_0129_genome_016_0,group_0129_genome_017_0,group_0129_genome_018_0,group_0129_genome_019_0,group_0129_genome_020_0,group_0129_genome_021_0,group_0129_genome_022_0,group_0129_genome_023_0,group_0129_genome_024_0,group_0129_genome_025_0,group_0129_genome_026_0,group_0129_genome_027_0,group_0129_genome_028_0,group_0129_genome_029_0,group_0129_genome_030_0
group_0130,group_0130,DNA polymerase,,,,,,,,,,,,group_0130_genome_001_0,group_0130_genome_002_0,group_0130_genome_003_0,group_0130_genome_004_0,group_0130_genome_005_0,group_0130_genome_006_0,group_0130_genome_007_0;group_0130_genome_007_1,group_0130_genome_008_0;group_0130_genome_008_1,group_0130_genome_009_0,group_0130_genome_010_0,group_0130_genome_011_0,group_0130_genome_012_0,group_0130_genome_013_0,group_0130_genome_014_0,group_0130_genome_015_0,group_0130_genome_016_0,group_0130_genome_017_0,group_0130_genome_018_0;group_0130_genome_018_1,group_0130_genome_019_0,group_0130_genome_020_0,group_0130_genome_021_0,group_0130_genome_022_0,group_0130_genome_023_0,group_0130_genome_024_0,group_0130_genome_025_0,group_0130_genome_026_0;group_0130_genome_026_1,group_0130_genome_027_0,group_0130_genome_028_0,group_0130_genome_029_0,group_0130_genome_030_0
group_0131,group_0131,virulence factor,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_0131_genome_017_0,,,,,,,group_0131_genome_024_0,,,,,,
group_0132,group_0132,,,,,,,,,,,,,group_0132_genome_001_0,group_0132_genome_002_0,group_0132_genome_003_0,group_0132_genome_004_0,group_0132_genome_005_0,group_0132_genome_006_0,group_0132_genome_007_0,group_0132_genome_008_0,group_0132_genome_009_0,,group_0132_genome_011_0,group_0132_genome_012_0;group_0132_genome_012_1,group_0132_genome_013_0,group_0132_genome_014_0,group_0132_genome_015_0,group_0132_genome_016_0,group_0132_genome_017_0,group_0132_genome_018_0,group_0132_genome_019_0,group_0132_genome_020_0,group_0132_genome_021_0,group_0132_genome_022_0,group_0132_genome_023_0,group_0132_genome_024_0,group_0132_genome_025_0,group_0132_genome_026_0,group_0132_genome_027_0,group_0132_genome_028_0,group_0132_genome_029_0,group_0132_genome_030_0
group_0133,group_0133,membrane transporter,,,,,,,,,,,,group_0133_genome_001_0,group_0133_genome_002_0,group_0133_genome_003_0,group_0133_genome_004_0,group_0133_genome_005_0,group_0133_genome_006_0,group_0133_genome_007_0,group_0133_genome_008_0,group_0133_genome_009_0,group_0133_genome_010_0,group_0133_genome_011_0,group_0133_genome_012_0,group_0133_genome_013_0,group_0133_genome_014_0,group_0133_genome_015_0,group_0133_genome_016_0,group_0133_genome_017_0,group_0133_genome_018_0,group_0133_genome_019_0,group_0133_genome_020_0,group_0133_genome_021_0,group_0133_genome_022_0,group_0133_genome_023_0,group_0133_genome_024_0,group_0133_genome_025_0,group_0133_genome_026_0,group_0133_genome_027_0,group_0133_genome_028_0,group_0133_genome_029_0,group_0133_genome_030_0
group_0134,group_0134,hypothetical protein,,,,,,,,,,,,group_0134_genome_001_0,group_0134_genome_002_0,,,,,group_0134_genome_007_0,group_0134_genome_008_0,group_0134_genome_009_0,,group_0134_genome_011_0,group_0134_genome_012_0,group_0134_genome_013_0,,group_0134_genome_015_0;group_0134_genome_015_1,,group_0134_genome_017_0,,,,group_0134_genome_021_0,group_0134_genome_022_0,group_0134_genome_023_0,,group_0134_genome_025_0,,group_0134_genome_027_0,,,group_0134_genome_030_0
group_0135,group_0135,flagellar protein,,,,,,,,,,,,group_0135_genome_001_0,group_0135_genome_002_0,group_0135_genome_003_0,group_0135_genome_004_0,group_0135_genome_005_0,group_0135_genome_006_0,group_0135_genome_007_0,group_0135_genome_008_0,group_0135_genome_009_0,group_0135_genome_010_0,group_0135_genome_011_0,group_0135_genome_012_0,group_0135_genome_013_0,group_0135_genome_014_0,group_0135_genome_015_0,,group_0135_genome_017_0,group_0135_genome_018_0,group_0135_genome_019_0,group_0135_genome_020_0,group_0135_genome_021_0,group_0135_genome_022_0,group_0135_genome_023_0,group_0135_genome_024_0,group_0135_genome_025_0,group_0135_genome_026_0,group_0135_genome_027_0,group_0135_genome_028_0,group_0135_genome_029_0,group_0135_genome_030_0
group_0136,group_0136,DNA polymerase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_0137,group_0137,efflux pump,,,,,,,,,,,,,,,,,,,,,,group_0137_genome_011_0,,,,,,,group_0137_genome_018_0,,,,,,,,group_0137_genome_026_0,group_0137_genome_027_0,,,
group_0138,group_0138,DNA polymerase,,,,,,,,,,,,,group_0138_genome_002_0,group_0138_genome_003_0,group_0138_genome_004_0,group_0138_genome_005_0,group_0138_genome_006_0,group_0138_genome_007_0,group_0138_genome_008_0,group_0138_genome_009_0,group_0138_genome_010_0,group_0138_genome_011_0,group_0138_genome_012_0,group_0138_genome_013_0,group_0138_genome_014_0,group_0138_genome_015_0,group_0138_genome_016_0;group_0138_genome_016_1,group_0138_genome_017_0,group_0138_genome_018_0,group_0138_genome_019_0,group_0138_genome_020_0,group_0138_genome_021_0,group_0138_genome_022_0,group_0138_genome_023_0,group_0138_genome_024_0,group_0138_genome_025_0,group_0138_genome_026_0,group_0138_genome_027_0,group_0138_genome_028_0,group_0138_genome_029_0,group_0138_genome_030_0
group_0139,group_0139,,,,,,,,,,,,,group_0139_genome_001_0,,group_0139_genome_003_0,group_0139_genome_004_0,group_0139_genome_005_0,group_0139_genome_006_0,group_0139_genome_007_0,group_0139_genome_008_0,group_0139_genome_009_0,group_0139_genome_010_0,group_0139_genome_011_0,group_0139_genome_012_0,group_0139_genome_013_0,group_0139_genome_014_0,group_0139_genome_015_0,group_0139_genome_016_0,group_0139_genome_017_0,group_0139_genome_018_0;group_0139_genome_018_1,group_0139_genome_019_0,group_0139_genome_020_0,group_0139_genome_021_0,group_0139_genome_022_0,group_0139_genome_023_0,group_0139_genome_024_0,group_0139_genome_025_0,,group_0139_genome_027_0,group_0139_genome_028_0,group_0139_genome_029_0,group_0139_genome_030_0
group_0140,group_0140,flagellar protein,,,,,,,,,,,,group_0140_genome_001_0;group_0140_genome_001_1,group_0140_genome_002_0,group_0140_genome_003_0,group_0140_genome_004_0,group_0140_genome_005_0,group_0140_genome_006_0,group_0140_genome_007_0,group_0140_genome_008_0,group_0140_genome_009_0,group_0140_genome_010_0,group_0140_genome_011_0,group_0140_genome_012_0,group_0140_genome_013_0,group_0140_genome_014_0,group_0140_genome_015_0,group_0140_genome_016_0,group_0140_genome_017_0,group_0140_genome_018_0,group_0140_genome_019_0,group_0140_genome_020_0,group_0140_genome_021_0,group_0140_genome_022_0,group_0140_genome_023_0,group_0140_genome_024_0,group_0140_genome_025_0,group_0140_genome_026_0,group_0140_genome_027_0,group_0140_genome_028_0,group_0140_genome_029_0,group_0140_genome_030_0
group_0141,group_0141,beta-lactamase,,,,,,,,,,,,group_0141_genome_001_0,group_0141_genome_002_0,group_0141_genome_003_0,group_0141_genome_004_0,group_0141_genome_005_0,group_0141_genome_006_0,group_0141_genome_007_0,group_0141_genome_008_0,group_0141_genome_009_0,group_0141_genome_010_0,group_0141_genome_011_0,group_0141_genome_012_0,group_0141_genome_013_0,group_0141_genome_014_0,group_0141_genome_015_0,group_0141_genome_016_0,group_0141_genome_017_0,group_0141_genome_018_0,group_0141_genome_019_0,group_0141_genome_020_0,group_0141_genome_021_0,group_0141_genome_022_0,group_0141_genome_023_0,group_0141_genome_024_0,group_0141_genome_025_0,group_0141_genome_026_0,group_0141_genome_027_0,group_0141_genome_028_0,group_0141_genome_029_0,group_0141_genome_030_0;group_0141_genome_030_1
group_0142,group_0142,membrane transporter,,,,,,,,,,,,group_0142_genome_001_0;group_0142_genome_001_1,,group_0142_genome_003_0,,group_0142_genome_005_0,group_0142_genome_006_0,,group_0142_genome_008_0,group_0142_genome_009_0,group_0142_genome_010_0,,group_0142_genome_012_0,group_0142_genome_013_0,group_0142_genome_014_0,group_0142_genome_015_0,group_0142_genome_016_0,group_0142_genome_017_0,,group_0142_genome_019_0,group_0142_genome_020_0,,group_0142_genome_022_0,group_0142_genome_023_0,,group_0142_genome_025_0,,group_0142_genome_027_0,group_0142_genome_028_0,group_0142_genome_029_0,
